"ntacode","mean","median","sum"
"QN08",4.621421863149412,4.897172927856445,48746.7578125
"BX28",-2.7526940423559614,-2.2297534942626953,-9650.9453125
"QN55",4.864879608832948,5.095145225524902,54690.9765625
"BK50",0.5686197101846058,1.3601913452148438,6360.580078125
"BX41",1.7656978288019796,1.7450264692306519,3545.521240234375
"QN26",3.369843622760586,3.4408020973205566,8276.3359375
"BK68",0.6504547811179969,0.8677538633346558,1462.872802734375
"QN38",2.195383217231518,2.135413408279419,11611.3818359375
"QN52",2.783954326923077,3.603278398513794,11183.14453125
"BK44",2.7812675838988175,2.9152894020080566,10349.0966796875
"QN01",5.387553706461961,5.240541458129883,29389.10546875
"BX98",3.1473260901016507,3.4000048637390137,7817.9580078125
"QN07",4.291135663412292,4.280599594116211,13405.5078125
"QN48",3.360353448160266,3.5273590087890625,15662.607421875
"BK77",2.8604941935365136,2.1386237144470215,9714.23828125
"BK41",1.0429286621545444,0.8813310861587524,2254.811767578125
"BK75",2.0490087176602922,1.623033881187439,9107.84375
"QN33",5.125589189095449,5.309749603271484,23090.779296875
"QN44",3.025020707831325,4.3663649559021,18830.75390625
"MN06",0.060402067529463525,0.3416636884212494,88.48902893066406
"BX07",0.49637920673076924,0.6121447086334229,1032.46875
"QN62",1.3639596584623894,1.56239914894104,4932.078125
"SI11",-2.892718141746714,-2.856290817260742,-57217.96484375
"QN15",1.105617776474814,1.4945032596588135,8176.04345703125
"SI08",-1.1743602604369168,-1.4426872730255127,-6040.9091796875
"BX10",-2.331194247159091,-1.4374234676361084,-12821.568359375
"BX33",3.0510980634859397,2.9425487518310547,4448.5009765625
"QN37",1.5650984783802375,1.7676022052764893,8105.64501953125
"BK81",2.5099997984662403,2.3551673889160156,11189.5791015625
"QN35",2.160626710766423,2.1655354499816895,8584.169921875
"SI37",1.1876313206968834,1.5026774406433105,7507.017578125
"QN23",2.8808122980797153,3.5138564109802246,19840.154296875
"QN12",-0.6109758215397155,1.0390441417694092,-5153.5810546875
"QN46",0.8611786891336903,1.6523220539093018,9488.466796875
"QN50",2.7745605795797053,2.7984163761138916,8284.837890625
"BK91",2.606914789594031,2.5859785079956055,12184.7197265625
"BK95",1.4849238528481012,1.3892061710357666,2932.724609375
"QN66",4.7509619167746715,4.671151638031006,25659.9453125
"QN41",1.0550378167007117,1.4605662822723389,4002.8134765625
